39302452, 월세, 1000, 70, 20.82, 서초구 우면동
39353792, 월세, 1000, 71, 21.88, 서초구 우면동
39353817, 월세, 1000, 70, 21.82, 서초구 우면동
39380091, 월세, 1000, 88, 26.76, 서초구 우면동
39394925, 월세, 5000, 76, 20.76, 서초구 양재동
39405253, 월세, 1000, 70, 15.86, 서초구 양재동
39373475, 전세, 47000, 0, 29.94, 서초구 양재동
39083954, 월세, 1000, 55, 26.4, 서초구 양재동
39218779, 월세, 5000, 133, 32.07, 서초구 양재동
38906534, 전세, 60000, 0, 48.37, 서초구 양재동
38906827, 전세, 57000, 0, 41.78, 서초구 양재동
39325699, 월세, 20000, 50, 66.1, 서초구 양재동
39116014, 전세, 30000, 0, 54.84, 서초구 양재동
39127357, 전세, 50000, 0, 73.08, 서초구 양재동
39343717, 전세, 45000, 0, 73.08, 서초구 양재동
39413548, 전세, 18000, 0, 29.95, 서초구 우면동
39405202, 전세, 18000, 0, 29.75, 서초구 우면동
39282899, 월세, 1400, 53, 43, 서초구 양재동
39173735, 전세, 17000, 0, 33.06, 서초구 양재동
39227986, 전세, 22000, 0, 44.37, 서초구 양재동
39185717, 전세, 70000, 0, 46.48, 서초구 양재동
39405272, 월세, 28000, 10, 49.48, 서초구 우면동
39405316, 월세, 31000, 20, 55.65, 서초구 우면동
39340479, 전세, 28000, 0, 53.87, 서초구 양재동
39364728, 월세, 1000, 55, 26.45, 서초구 양재동
39410430, 월세, 2000, 55, 19.83, 서초구 양재동
39301658, 월세, 3000, 140, 85, 서초구 양재동
39413601, 전세, 17000, 0, 27, 서초구 우면동
39390840, 월세, 200, 55, 19.83, 서초구 양재동
39405306, 월세, 10000, 150, 55.87, 서초구 우면동
39405280, 월세, 20000, 50, 29.9, 서초구 우면동
39405243, 월세, 1000, 75, 18.18, 서초구 우면동
39331059, 월세, 2000, 70, 39.7, 서초구 양재동
39185541, 전세, 55000, 0, 84.78, 서초구 양재동
39250429, 전세, 28000, 0, 29.96, 서초구 양재동
39334648, 월세, 5000, 88, 36.36, 서초구 양재동
39257284, 월세, 500, 40, 23.14, 서초구 양재동
39374621, 월세, 500, 40, 28.1, 서초구 양재동
39171589, 월세, 500, 40, 26.44, 서초구 양재동
39380305, 월세, 46700, 20, 46.1, 서초구 양재동
39383347, 전세, 50000, 0, 46.1, 서초구 양재동
39364406, 월세, 2000, 85, 36.36, 서초구 양재동
39415564, 월세, 2000, 60, 23.14, 서초구 양재동
39330318, 월세, 2000, 95, 60, 서초구 양재동
39339195, 월세, 1000, 76, 20.88, 서초구 양재동
39416681, 월세, 1000, 75, 22.15, 서초구 양재동
39201082, 전세, 26000, 0, 28.42, 서초구 양재동
39387580, 월세, 500, 55, 16.53, 서초구 양재동
38546303, 전세, 25000, 0, 60, 서초구 양재동
39383420, 월세, 15000, 40, 49.59, 서초구 양재동
39405294, 월세, 30000, 50, 55.9, 서초구 우면동
39286155, 월세, 3000, 86, 27.2, 서초구 양재동
39143262, 월세, 1000, 80, 29, 서초구 양재동
39170885, 월세, 3000, 70, 39.7, 서초구 양재동
39243721, 월세, 3000, 70, 24.79, 서초구 양재동
39247378, 월세, 3000, 70, 23.14, 서초구 양재동
39079843, 전세, 30000, 0, 29.7, 서초구 양재동
38825723, 전세, 30000, 0, 29.64, 서초구 양재동
39210776, 전세, 25000, 0, 17.69, 서초구 양재동
39323236, 전세, 30500, 0, 39.35, 서초구 양재동
39370391, 전세, 55000, 0, 52.73, 서초구 양재동
39371777, 전세, 30000, 0, 29.64, 서초구 양재동
39377922, 전세, 30000, 0, 42.98, 서초구 양재동
39398519, 전세, 30000, 0, 29.66, 서초구 양재동
39092546, 월세, 5000, 170, 39.67, 서초구 양재동
39397458, 월세, 2000, 124, 42.98, 서초구 양재동
39318540, 월세, 2000, 124, 39.67, 서초구 양재동
39048568, 월세, 500, 27, 23.14, 서초구 양재동
38939949, 전세, 38000, 0, 23.49, 서초구 양재동
39014080, 월세, 5000, 190, 27.65, 서초구 양재동
39014091, 월세, 5000, 190, 28.31, 서초구 양재동
39077577, 월세, 5000, 190, 27.65, 서초구 양재동
39083830, 전세, 40000, 0, 29.79, 서초구 양재동
39123540, 월세, 5000, 190, 26, 서초구 양재동
39234784, 월세, 5000, 186, 23.82, 서초구 양재동
39248253, 월세, 5000, 186, 23.82, 서초구 양재동
39325565, 전세, 38000, 0, 28.31, 서초구 양재동
39359129, 월세, 1000, 50, 16.53, 서초구 양재동
39362584, 월세, 1000, 50, 16.53, 서초구 양재동
39305752, 월세, 100, 50, 16.53, 서초구 양재동
39391641, 월세, 100, 50, 15.87, 서초구 양재동
39403285, 전세, 23800, 0, 21.06, 서초구 양재동
39334034, 월세, 1000, 75, 46.28, 서초구 양재동
39392885, 전세, 29500, 0, 26.57, 서초구 양재동
39347686, 월세, 100, 65, 19.83, 서초구 양재동
39287792, 전세, 30000, 0, 29.87, 서초구 양재동
39292809, 전세, 38000, 0, 29.73, 서초구 양재동
39301727, 전세, 36000, 0, 29.73, 서초구 양재동
39406504, 전세, 38000, 0, 59.5, 서초구 양재동
39305726, 월세, 7000, 15, 26.4, 서초구 양재동
39369781, 월세, 3000, 85, 30.31, 서초구 양재동
39178573, 월세, 15000, 20, 24.07, 서초구 양재동
39234530, 전세, 17000, 0, 24.07, 서초구 양재동
39357546, 월세, 500, 45, 24.07, 서초구 양재동
39374289, 전세, 18000, 0, 24.07, 서초구 양재동
39374297, 전세, 18000, 0, 28.6, 서초구 양재동
39374304, 전세, 17000, 0, 28.72, 서초구 양재동
39374357, 월세, 10000, 46, 28.61, 서초구 양재동
39396067, 월세, 500, 50, 24.07, 서초구 양재동
39396644, 월세, 500, 50, 22.96, 서초구 양재동
39397532, 월세, 13000, 35, 24.07, 서초구 양재동
39397644, 월세, 8000, 50, 24.07, 서초구 양재동
39289349, 전세, 45000, 0, 33.35, 강남구 개포동
39415394, 전세, 34100, 0, 33.35, 강남구 개포동
39096900, 월세, 30000, 180, 12.72, 서초구 양재동
39207960, 전세, 37000, 0, 28.44, 서초구 양재동
39305841, 전세, 40000, 0, 29.48, 서초구 양재동
39296514, 전세, 80000, 0, 49.71, 서초구 서초동
39317758, 전세, 33000, 0, 27.1, 서초구 양재동
39409997, 월세, 1000, 50, 16.53, 강남구 개포동
39126457, 전세, 33000, 0, 32.41, 서초구 방배동
39269894, 전세, 35000, 0, 25.71, 강남구 개포동
39408965, 월세, 5000, 100, 59.5, 서초구 양재동
39181511, 월세, 1000, 80, 26.45, 강남구 개포동
39272449, 월세, 110, 110, 18.6, 서초구 양재동
39225222, 월세, 10000, 50, 26.4, 서초구 양재동
39058237, 월세, 10000, 130, 82.6, 서초구 서초동
39058284, 월세, 10000, 100, 52.9, 서초구 서초동
38540217, 전세, 42000, 0, 55.07, 서초구 서초동
38883660, 전세, 42000, 0, 55.07, 서초구 서초동
39225718, 전세, 30000, 0, 66.1, 서초구 양재동
39335956, 전세, 24100, 0, 36.36, 서초구 양재동
38862975, 전세, 42000, 0, 38.2, 서초구 서초동
39206972, 전세, 42000, 0, 38.2, 서초구 서초동
38881318, 월세, 3000, 260, 29.92, 서초구 양재동
39083858, 전세, 50000, 0, 36.42, 서초구 양재동
39186714, 월세, 3000, 260, 29.92, 서초구 양재동
39204743, 전세, 50000, 0, 36.42, 서초구 양재동
39302846, 전세, 54100, 0, 36.15, 서초구 양재동
39127928, 전세, 30000, 0, 17.63, 서초구 서초동
39324814, 전세, 30000, 0, 39.67, 서초구 양재동
39369125, 월세, 5000, 50, 26.45, 서초구 서초동
39233824, 월세, 1500, 115, 32.97, 강남구 도곡동
39282706, 월세, 1500, 115, 32.97, 강남구 도곡동
39325714, 월세, 1500, 115, 32.97, 강남구 도곡동
39356123, 월세, 1500, 115, 32.97, 강남구 도곡동
39204121, 전세, 28000, 0, 28.63, 서초구 서초동
39225737, 월세, 1000, 45, 26.4, 서초구 양재동
39417670, 월세, 1000, 61, 19.83, 서초구 양재동
39413299, 월세, 25000, 30, 36.56, 서초구 서초동
39381082, 월세, 75000, 100, 156.79, 강남구 도곡동
39401117, 전세, 100000, 0, 156.79, 강남구 도곡동
39396562, 전세, 29600, 0, 42.98, 서초구 서초동
39225608, 월세, 1000, 90, 19.8, 서초구 양재동
39225655, 월세, 1000, 80, 19.83, 서초구 양재동
39373840, 월세, 20000, 300, 158.36, 서초구 양재동
39332954, 월세, 30000, 10, 27.32, 서초구 서초동
39384266, 전세, 32000, 0, 25.75, 서초구 서초동
39410720, 월세, 3000, 80, 39.67, 서초구 양재동
39338652, 월세, 7000, 32, 26.45, 서초구 양재동
39205549, 전세, 28000, 0, 33.01, 서초구 서초동
39138625, 월세, 500, 60, 18.18, 서초구 서초동
39374505, 월세, 500, 65, 19.83, 서초구 서초동
39403049, 월세, 500, 65, 12.6, 서초구 서초동
39207531, 월세, 7500, 30, 24.79, 서초구 서초동
39332031, 월세, 7500, 30, 26.45, 서초구 서초동
39416097, 월세, 15000, 45, 56.2, 서초구 양재동
39252089, 전세, 27500, 0, 29.97, 서초구 서초동
39344704, 전세, 27000, 0, 28.01, 서초구 서초동
39355831, 전세, 27000, 0, 42.98, 서초구 서초동
39307814, 월세, 1000, 110, 19.06, 서초구 양재동
39353768, 월세, 200, 150, 19.06, 서초구 양재동
39362384, 월세, 200, 140, 19.06, 서초구 양재동
39393666, 월세, 1000, 105, 16.53, 서초구 양재동
39411504, 월세, 1000, 120, 19.06, 서초구 양재동
39413766, 월세, 1000, 110, 20, 서초구 양재동
39370536, 월세, 1000, 45, 23.1, 서초구 양재동
39140791, 전세, 65000, 0, 99.2, 서초구 서초동
39294192, 월세, 1000, 65, 16.92, 강남구 도곡동
39354980, 월세, 500, 45, 14, 서초구 서초동
39325222, 월세, 30000, 110, 73.5, 서초구 서초동
39052905, 전세, 35000, 0, 28.14, 서초구 서초동
39257665, 전세, 30450, 0, 26.58, 서초구 서초동
39404751, 전세, 33000, 0, 25.12, 서초구 서초동
39411116, 전세, 32000, 0, 25.13, 서초구 서초동
39345368, 월세, 20000, 150, 83.87, 서초구 양재동
39396773, 월세, 20000, 150, 83.87, 서초구 양재동
39338963, 월세, 12000, 60, 22.85, 서초구 서초동
39370455, 전세, 35000, 0, 28.94, 서초구 서초동
39153850, 월세, 12000, 20, 16.5, 강남구 도곡동
39383252, 월세, 200, 120, 23.14, 서초구 서초동
39002209, 월세, 5000, 250, 18.64, 서초구 서초동
39074730, 월세, 1000, 130, 18.64, 서초구 서초동
39113177, 전세, 25000, 0, 18.64, 서초구 서초동
39167606, 월세, 5000, 240, 42.1, 서초구 서초동
39169838, 월세, 1000, 130, 18.64, 서초구 서초동
39174447, 전세, 56000, 0, 42.12, 서초구 서초동
39174573, 월세, 5000, 75, 18.65, 서초구 서초동
39174989, 월세, 5000, 240, 42.1, 서초구 서초동
39183721, 월세, 3000, 90, 18, 서초구 서초동
39184292, 월세, 5000, 80, 18.64, 서초구 서초동
39184709, 월세, 1000, 290, 42.1, 서초구 서초동
39207539, 월세, 2000, 110, 18.64, 서초구 서초동
39226741, 월세, 1000, 260, 42.1, 서초구 서초동
39227062, 월세, 5000, 210, 42.1, 서초구 서초동
39232976, 월세, 1000, 90, 18, 서초구 서초동
39292122, 월세, 2000, 140, 18.64, 서초구 서초동
39303324, 전세, 25000, 0, 18.65, 서초구 서초동
39303352, 월세, 5000, 220, 42.12, 서초구 서초동
39337636, 월세, 1000, 110, 18.64, 서초구 서초동
39341670, 전세, 25000, 0, 18.64, 서초구 서초동
39346261, 월세, 5000, 250, 42.1, 서초구 서초동
39358539, 월세, 300, 300, 42.1, 서초구 서초동
39359275, 월세, 2500, 250, 42.1, 서초구 서초동
39359660, 월세, 1000, 100, 18.64, 서초구 서초동
39359825, 월세, 1000, 90, 18.64, 서초구 서초동
39359924, 전세, 49000, 0, 42.1, 서초구 서초동
39359986, 월세, 3000, 90, 18.65, 서초구 서초동
39360020, 전세, 53000, 0, 42.1, 서초구 서초동
39384525, 전세, 23000, 0, 18.64, 서초구 서초동
39384544, 월세, 1000, 90, 18.64, 서초구 서초동
39390195, 전세, 23000, 0, 18.64, 서초구 서초동
39391479, 월세, 10000, 200, 42.12, 서초구 서초동
39391929, 전세, 59000, 0, 42.1, 서초구 서초동
39392437, 월세, 1000, 120, 18, 서초구 서초동
39393264, 월세, 2000, 110, 18.64, 서초구 서초동
39393317, 월세, 2000, 130, 18.64, 서초구 서초동
39393409, 전세, 60000, 0, 42.1, 서초구 서초동
39393476, 전세, 65000, 0, 44.03, 서초구 서초동
39393499, 전세, 30000, 0, 18.64, 서초구 서초동
39393534, 월세, 10000, 200, 42.1, 서초구 서초동
39393548, 전세, 27000, 0, 18.64, 서초구 서초동
39394996, 월세, 3000, 230, 42, 서초구 서초동
39395012, 전세, 23000, 0, 18.64, 서초구 서초동
39395027, 월세, 1000, 90, 18.64, 서초구 서초동
39395043, 전세, 50000, 0, 42.1, 서초구 서초동
39395055, 월세, 3000, 230, 44, 서초구 서초동
39395078, 월세, 5000, 75, 18.64, 서초구 서초동
39395088, 월세, 3000, 240, 18.64, 서초구 서초동
39395095, 월세, 10000, 200, 18, 서초구 서초동
39395110, 월세, 3000, 95, 18.64, 서초구 서초동
39395120, 월세, 5500, 70, 18.64, 서초구 서초동
39398967, 월세, 5000, 240, 42.1, 서초구 서초동
39399927, 전세, 65000, 0, 44.03, 서초구 서초동
39404708, 월세, 5000, 80, 18.64, 서초구 서초동
39408584, 월세, 3000, 90, 18.64, 서초구 서초동
39410563, 전세, 56000, 0, 42.1, 서초구 서초동
39410761, 월세, 1000, 90, 18.64, 서초구 서초동
39411254, 월세, 3000, 250, 46.12, 서초구 서초동
39411278, 월세, 300, 105, 18.64, 서초구 서초동
39411350, 월세, 3000, 240, 42.1, 서초구 서초동
39411404, 월세, 5000, 80, 18.64, 서초구 서초동
39411759, 월세, 1000, 90, 18.64, 서초구 서초동
39412054, 월세, 3000, 230, 42.1, 서초구 서초동
39413795, 월세, 1000, 95, 18.64, 서초구 서초동
39415294, 전세, 23000, 0, 18.64, 서초구 서초동
39416077, 월세, 1000, 270, 46.12, 서초구 서초동
39416554, 월세, 5000, 240, 42.1, 서초구 서초동
39345431, 월세, 3000, 105, 28.8, 서초구 서초동
39300851, 월세, 13000, 45, 28.71, 서초구 서초동
39355233, 월세, 1000, 70, 23.1, 서초구 서초동
