gender,birth,marriage_type,religion,income,code_job,code_region
2.0,1945.0,2.0,1.0,,,1.0
1.0,1948.0,2.0,2.0,,,1.0
1.0,1942.0,3.0,1.0,107.0,762.0,1.0
1.0,1962.0,1.0,1.0,192.0,855.0,1.0
2.0,1963.0,1.0,1.0,,,1.0
2.0,2003.0,0.0,1.0,,,1.0
1.0,1927.0,1.0,1.0,,,1.0
2.0,1934.0,1.0,1.0,27.0,941.0,1.0
2.0,1940.0,2.0,1.0,27.0,999.0,2.0
2.0,1970.0,3.0,1.0,,,1.0
2.0,1992.0,5.0,1.0,,,1.0
1.0,1940.0,1.0,2.0,,,1.0
2.0,1941.0,1.0,2.0,,,1.0
1.0,1962.0,5.0,1.0,,,1.0
1.0,1978.0,1.0,2.0,338.0,312.0,1.0
2.0,1975.0,1.0,2.0,200.0,254.0,1.0
2.0,2004.0,0.0,2.0,,,1.0
2.0,2008.0,0.0,2.0,,,1.0
1.0,1941.0,1.0,1.0,,,1.0
2.0,1942.0,1.0,1.0,110.0,510.0,1.0
1.0,1964.0,5.0,2.0,,,1.0
2.0,1940.0,2.0,2.0,,,1.0
1.0,1975.0,5.0,1.0,,521.0,1.0
1.0,1978.0,1.0,2.0,,151.0,1.0
2.0,1982.0,1.0,2.0,,521.0,1.0
2.0,1961.0,1.0,1.0,113.0,951.0,1.0
1.0,1961.0,1.0,2.0,315.0,783.0,1.0
2.0,1986.0,5.0,2.0,200.0,399.0,1.0
2.0,1962.0,1.0,1.0,148.0,941.0,1.0
2.0,1985.0,4.0,2.0,158.0,313.0,1.0
1.0,1992.0,5.0,2.0,238.0,442.0,1.0
1.0,1952.0,1.0,2.0,156.0,910.0,1.0
2.0,1961.0,3.0,1.0,,951.0,1.0
2.0,1982.0,1.0,2.0,,531.0,1.0
1.0,1984.0,1.0,2.0,,531.0,1.0
1.0,1971.0,5.0,2.0,,873.0,7.0
1.0,1943.0,2.0,2.0,,,1.0
2.0,1945.0,2.0,2.0,,,1.0
1.0,1975.0,5.0,2.0,,,1.0
1.0,1972.0,1.0,1.0,,,1.0
2.0,1974.0,1.0,1.0,583.0,320.0,1.0
2.0,2006.0,0.0,1.0,,,1.0
2.0,2006.0,0.0,1.0,,,1.0
1.0,1980.0,5.0,2.0,239.0,442.0,1.0
2.0,1954.0,3.0,2.0,250.0,421.0,1.0
2.0,1941.0,2.0,1.0,,,1.0
1.0,1972.0,1.0,2.0,258.0,313.0,1.0
2.0,1973.0,1.0,2.0,,,1.0
1.0,2004.0,0.0,2.0,,,1.0
1.0,1926.0,1.0,2.0,,,1.0
2.0,1936.0,1.0,2.0,,,1.0
1.0,1968.0,5.0,2.0,219.0,842.0,1.0
2.0,1940.0,2.0,2.0,,,1.0
2.0,1982.0,1.0,1.0,,,2.0
1.0,1976.0,1.0,1.0,260.0,873.0,2.0
1.0,2010.0,0.0,1.0,,,2.0
2.0,2012.0,0.0,1.0,,,2.0
2.0,1937.0,3.0,1.0,,,1.0
2.0,1972.0,5.0,2.0,238.0,313.0,1.0
2.0,1942.0,2.0,2.0,,,1.0
1.0,1973.0,1.0,2.0,278.0,510.0,1.0
2.0,1974.0,1.0,2.0,,,1.0
2.0,2009.0,0.0,2.0,,,1.0
1.0,1959.0,1.0,2.0,228.0,852.0,1.0
2.0,1967.0,1.0,2.0,80.0,930.0,1.0
2.0,1995.0,5.0,2.0,,,1.0
2.0,1998.0,5.0,2.0,190.0,521.0,1.0
1.0,1955.0,1.0,2.0,115.0,991.0,1.0
2.0,1958.0,1.0,2.0,,,1.0
1.0,1982.0,5.0,2.0,240.0,521.0,1.0
1.0,1968.0,1.0,1.0,1017.0,312.0,1.0
2.0,1970.0,1.0,1.0,,,1.0
1.0,1994.0,5.0,1.0,,930.0,1.0
1.0,1999.0,5.0,1.0,,,1.0
1.0,1973.0,1.0,1.0,750.0,312.0,1.0
2.0,1975.0,1.0,1.0,,,1.0
1.0,2004.0,0.0,1.0,,,1.0
2.0,2007.0,0.0,1.0,,,1.0
1.0,1950.0,1.0,1.0,,991.0,5.0
2.0,1956.0,1.0,1.0,140.0,941.0,5.0
1.0,1930.0,1.0,2.0,,,1.0
2.0,1938.0,1.0,2.0,,,1.0
2.0,1962.0,2.0,1.0,100.0,422.0,1.0
2.0,1991.0,5.0,1.0,150.0,422.0,1.0
2.0,1959.0,2.0,1.0,,,1.0
2.0,1989.0,5.0,1.0,205.0,285.0,1.0
2.0,1995.0,5.0,1.0,200.0,399.0,1.0
2.0,1997.0,5.0,1.0,,521.0,1.0
2.0,1982.0,5.0,2.0,212.0,921.0,5.0
2.0,1985.0,5.0,2.0,272.0,441.0,5.0
2.0,1957.0,4.0,2.0,,921.0,5.0
