score,content
1,"기존에 구매했을때랑 다르네요..
귀 만 편합니다"
1,"마스크 안쪽이 불편해서.얼굴 양쪽볼이  꺼끌꺼끌 불편합니다.
특히.말할때 매우 따가워 마스크를 계속고쳐쓰게 됩니다"
1,"앞 부분이 조금 단단해서 말할 때 입에 붙지도 않고, 양 가장자리 쪽이 조금 좁아서 모양도 좋고, 귀걸이 끈의 탄력도 적당하고, 가끈 끈 접착이 불량해서 끊어지는 것들이 있었는데, 이건 단단하게 붙어 있고,... 잘 만들었습니다.
--&gt; 사용해본 결과 : 안으로 접히는 가장자리 부분(바느질 모양)에서 남아 있는 부분이 같이 들어올려져서 얼굴을 자꾸 찌르게 됩니다. 다른 제품들을 보니 모두 단단히 붙여놓았거나 또는 해당 부분이 없는데, 이건 구조적으로 잘못 만들었네요. 자세히 다른 것과 비교해보니, 접착도 얇게 한 줄로 돼 있고 입이 닿는 끝 마무리도 거칠게 돼 있고.... 문제가 많네요..."
1,"저는 좀 별로네요
리뷰가 좋아서 샀더니..ㅜ
안쪽 피부 닿는 마감처리 되어있는 부분이 까슬까슬해서 피부를 찌르고 콧등 눌러주는 쇠부분을 자주 만지다보면 종이처럼 마스크가 구겨져서 보기에 별로 안이쁘고..
성인여자가 쓰기에 마스크 끈이 너무 길고..
저는 이번에 산거 다쓰면 다른 마스크로 갈아탈 예정입니다
솔직리뷰입니당"
1,끈이  자꾸떨어져서  버린것만  벌써  몇개되요 편하다고해서  구매했는데    돈아깝네요
1,"마스크가  부드럽지않고 무슨
비닐재질처럼 바스락거리고
피부에도 안좋아보이네요
반품하고싶은데 뜯어버려서"
1,대형사이즈 라고했는데 조금 작아요.
1,착용감이 너무 불편해서 몇개쓰고 다른걸로 다시 샀어요
1,"정말 이렇게 처음에 쓰던 그면질이라 생각하고 대량 재구매했는데...언제 저걸다쓰나..
숨쉬기편한이 빠져있는걸 못보고산 제탓이지만.. 속은 기분은 어쩔수없네요.."
1,처음엔 몰랐는데 계속 쓰니깐 신랑도 저도 얼굴에 뾰루지가 나요ㅜㅜ 다른거 사야할것 같아요ㅜㅜ
1,마스크테두리가 까칠해서 아프기까지해요 손으로만질때는 부드러운데 마스크쓰면 볼에계속 꺼칠거리게아프네요ㅠ
1,너무 뻣뻣하고 질이 별로에요..재구매는 안할래요ㅜ
1,"사용안하고있어요
너무 숨쉬기 힘드네요
답다하고요 아쉽"
1,좀 두툼했으면 했는데 얇아요
1,예전에 것이 훨씬좋았어요 이번에 바뀐것은 출근시 화장품이 너무 묻어서 2틀을 못쓰고 하루쓰고 버려서 너무 아까워요 예전것이 화장품도 잘안묻고 편했는데 많이 아쉽네요  반품귀찮아서 그냥씁니다
1,"검수를 아예 안하시나봐요?
현재 60개 가량 사용했는데 (운동을 해서 마스크를 자주 갈아씀) 60개 쓰는 동안 불량이 한 6~7개 정도 나왔네요
방금은 3개가 연달아서 마스크 아랫부분이 찢어져서 너덜거리는게 나와서 열받아서 후기 쓰러 왔어요 
이 정도면 검수 아예 안하는거 맞죠?
코로나 시작하고부터 여러 회사의 마스크를 사용해봤지만 이렇게 불량률이 높은건 처음이네요
제 이전 구매 후기보면 아시겠지만 엄청나게 극찬하고 벌써 4~5번 가량 구매했는데 아쉽네요
이후로 재구매 의사 없습니다"
1,"기존 여러번 구매해서 사용했었는데
이번에 받은건 딱착용했을때 특이한 냄새가나요
기존거랑 다른 냄새요
두개 같이 뜯어 비교해도 다르던데 무슨냄새일까요?"
1,밖이 비닐이 있는것처럼 뻣뻣해요
1,마스크 재질이 뻣뻣해서 피부가 아파요
1,앞전에 숨쉬기 좋아 다시구매했는데..천이 다르네요..ㅠㅜ뭐가틀린지 포장지보니 재질국내산 100프재질안쓰여있네요..암튼 100개샀는데..실망..
1,"이전께 좋아서 재주문한건데.
이상한 비닐재질로 바껴서
너무 별로에요."
1,이거 생산업체 다른데로 바꼇나요? 마스크 재질도 다르고 귀도아프고 전에 좋아서 샀는데 완전 달라졌네요
1,"좋은점은 보풀이 안생기고 귀가 안아프고 편함 처음 써보는 재질 약간 종이같은 느낌? 그리고 가볍다
단점 타마스크에 비해 접지력이 떨어짐
특히 코부분이 심함 안구건조증이 있는대
숨쉴때마다 바람이 눈으로 올라와서 눈이 아픔
재구매 의사 X"
1,생각했던 재질도 아니고 뭔가 착용했을때 모양? 핏이 안이뻐요 ㅠㅠ
1,재질이 뻣뻣하고 착용감 실망스럽다 비추찬해요.
1,리뷰 좋아서 구매했는데 얼굴에 안 닫는 이유가 전체적으로 빳빳한 코팅종이 느낌이라서인듯 해요. 예민피부에는 모서리 각진 부분들 쓸리고 날카로워 아프네요
1,너무 뻣뻣해서 얼굴에 자국 그대로 남아요. 괜히 많이 사서 누구 주지도 못하고 처리 난감이네요
1,너무 뻣뻣해서 얼굴에 마스크 자국이 생김. 다시는 구입의사 없음
1,흘러내려요흘러내려요
