content,score
'그때 미국 영화들은 우리나라에서 볼수 없는 새로운 세계를 보여주는 신세계였다.. 액션 스토리 재미 모두 만족시킨 영화..',9
'나 엔시티 드림 사랑하네..',10
'나름 재밌게 보고 친구한테 추천해줌 ㅋ',10
'평이 좋아서 적당히 기대하고 갔는데 끝날때까지 몰입해서 봤습니다. 상상력과 역사가 더해지니 너무 재밌는 것!',10
'코미디 요소가 너무 강해서 몰입이 떨어짐 우습긴 하네요',2
'윤시윤 연기가 장난아니네요~ 한층 업그레이드된 윤시윤 짱이에요~',10
'감독님 티모시랑 또 같이 해주세요',10
'한국 영화 중 제일 재밌었다',10
'1999년 영화혁명이 일어났다! 니가 살고있는 세계를 의심하라!',10
'',10
'몰입도와 연기는 좋지만 딱 거기까지. 그렇다고 영화로서 매력이 없는 건 아니다.',8
'진짜 아무 기대도 정보도 없이 갔는데 생각지도 못한 재미가 있었음. 중반부터 스릴있어지는데 배우들 연기도 미쳤고 돈 안아까움. 오랜만에 재미난 한국영화봤네ㅋ 엔딩은 조금 아쉽긴하지만',10
'특정 시점부터 휘몰아치는 긴장선이 후반부까지 힘있게 이어져 몰입도 높게 관람했습니다. 반전을 극대화한 연출력이 인상적입니다.',9
'윤시윤배우 승승장구 하시길!!너무 감동적입니다',10
'압꾸정이  꾸정물  되버렸어...정말 시간가는줄 알구 봤다.',1
'핵노잼 개재미없음 보지마3',1
'재밌었는데 난?ㅋㅋ 마동석님 양x치 컨셉도잘 소화하시네요',8
'짝사랑이란 훨씬 더 독하고 맹목적이다',8
'최고다. 왕이 왜 이순신 장군님의 승전보를 두려워했는지 알 수 있겠음.  왕 보다 대단한 이순.신.!!! 내가 저 시대에 백성이였어도 도망치는 왕보다 이순신 장군님이 더 하늘 같았을 듯. 그것이 두려워... 추잡한 짓을 ㅡㅡ...  영상 정말 시원시원. 연출도 예상치 못한 반전아닌 반전들로 속시원함...♡ &amp;#39;명량&amp;#39;보다 더 대단한 작품을 만나게 될 줄이야..ㅜㅜ♡',10
